年份,月份,物料编号,物料描述,预测值,预测上限,预测下限,预测算法,可信度,季节性系数,趋势系数
2025,1,M001,电子元件A,650,715,585,ARIMA,85,1.1,1.05
2025,1,M002,电子元件B,400,440,360,指数平滑,90,1.0,1.08
2025,1,M003,电子组件C,280,336,224,移动平均,80,1.2,1.03
2025,2,M001,电子元件A,680,748,612,ARIMA,82,1.0,1.05
2025,2,M002,电子元件B,420,462,378,指数平滑,88,1.05,1.08
2025,2,M003,电子组件C,270,324,216,移动平均,82,0.9,1.03
2025,3,M001,电子元件A,700,770,630,ARIMA,84,1.05,1.05
2025,3,M002,电子元件B,440,484,396,指数平滑,86,1.1,1.08
2025,3,M003,电子组件C,290,348,232,移动平均,78,1.0,1.03
2025,4,M001,电子元件A,720,792,648,ARIMA,83,1.08,1.05
2025,4,M002,电子元件B,460,506,414,指数平滑,85,1.15,1.08
2025,4,M003,电子组件C,300,360,240,移动平均,80,1.05,1.03
2025,5,M001,电子元件A,740,814,666,ARIMA,85,1.1,1.05
2025,5,M002,电子元件B,480,528,432,指数平滑,87,1.2,1.08
2025,5,M003,电子组件C,310,372,248,移动平均,82,1.1,1.03
2025,6,M001,电子元件A,760,836,684,ARIMA,84,1.15,1.05
2025,6,M002,电子元件B,500,550,450,指数平滑,86,1.25,1.08
2025,6,M003,电子组件C,320,384,256,移动平均,80,1.15,1.03