年份,月份,物料编号,物料描述,物料类型,毛需求量,期初库存,净需求量,计划订单量,标准包装量,供应商,采购提前期,订单下达日期,预计到货日期,估计成本
2025,1,R001,电阻,基础原料,5200,1000,4200,5000,5000,SUP001,15,2024-12-17,2025-01-01,250.00
2025,1,C001,电容,基础原料,3120,600,2520,2500,2500,SUP002,20,2024-12-12,2025-01-01,250.00
2025,1,PCB001,电路板,基础原料,1040,150,890,900,100,SUP003,30,2024-12-02,2025-01-01,4500.00
2025,1,R002,精密电阻,基础原料,4000,800,3200,3000,1000,SUP001,15,2024-12-17,2025-01-01,600.00
2025,1,C002,高容量电容,基础原料,1000,400,600,1000,1000,SUP002,20,2024-12-12,2025-01-01,500.00
2025,1,IC001,集成电路,基础原料,500,200,300,500,500,SUP004,45,2024-11-17,2025-01-01,900.00
2025,1,CAS001,外壳,基础原料,300,120,180,200,200,SUP005,30,2024-12-02,2025-01-01,700.00
2025,2,R001,电阻,基础原料,4450,800,3650,5000,5000,SUP001,15,2025-01-17,2025-02-01,250.00
2025,2,C001,电容,基础原料,2670,580,2090,2500,2500,SUP002,20,2025-01-12,2025-02-01,250.00
2025,2,PCB001,电路板,基础原料,890,110,780,800,100,SUP003,30,2025-01-02,2025-02-01,4000.00
2025,2,R002,精密电阻,基础原料,3200,600,2600,3000,1000,SUP001,15,2025-01-17,2025-02-01,600.00
2025,2,C002,高容量电容,基础原料,800,400,400,1000,1000,SUP002,20,2025-01-12,2025-02-01,500.00
2025,2,IC001,集成电路,基础原料,400,200,200,500,500,SUP004,45,2024-12-18,2025-02-01,900.00
2025,2,CAS001,外壳,基础原料,300,120,180,200,200,SUP005,30,2025-01-02,2025-02-01,700.00
2025,3,R001,电阻,基础原料,5200,1350,3850,5000,5000,SUP001,15,2025-02-14,2025-03-01,250.00
2025,3,C001,电容,基础原料,3120,990,2130,2500,2500,SUP002,20,2025-02-09,2025-03-01,250.00
2025,3,PCB001,电路板,基础原料,1040,120,920,1000,100,SUP003,30,2025-01-30,2025-03-01,5000.00
2025,3,R002,精密电阻,基础原料,4000,1400,2600,3000,1000,SUP001,15,2025-02-14,2025-03-01,600.00
2025,3,C002,高容量电容,基础原料,1000,600,400,1000,1000,SUP002,20,2025-02-09,2025-03-01,500.00
2025,3,IC001,集成电路,基础原料,500,300,200,500,500,SUP004,45,2025-01-15,2025-03-01,900.00
2025,3,CAS001,外壳,基础原料,300,120,180,200,200,SUP005,30,2025-01-30,2025-03-01,700.00