年份,月份,物料编号,物料描述,预测需求,计划产量,期初库存,期末库存,产能利用率,标准批量,批次数,优化目标,优化结果
2025,1,M001,电子元件A,650,700,200,250,85,100,7,成本最小,最优
2025,1,M002,电子元件B,400,500,150,250,75,100,5,成本最小,最优
2025,1,M003,电子组件C,280,300,100,120,65,100,3,成本最小,次优
2025,2,M001,电子元件A,680,600,250,170,80,100,6,成本最小,最优
2025,2,M002,电子元件B,420,400,250,230,70,100,4,成本最小,最优
2025,2,M003,电子组件C,270,300,120,150,72,100,3,成本最小,最优
2025,3,M001,电子元件A,700,700,170,170,85,100,7,成本最小,最优
2025,3,M002,电子元件B,440,500,230,290,78,100,5,成本最小,最优
2025,3,M003,电子组件C,290,300,150,160,75,100,3,成本最小,最优
2025,4,M001,电子元件A,720,800,170,250,90,100,8,成本最小,最优
2025,4,M002,电子元件B,460,400,290,230,72,100,4,成本最小,最优
2025,4,M003,电子组件C,300,300,160,160,76,100,3,成本最小,最优
2025,5,M001,电子元件A,740,700,250,210,85,100,7,成本最小,最优
2025,5,M002,电子元件B,480,500,230,250,80,100,5,成本最小,最优
2025,5,M003,电子组件C,310,300,160,150,78,100,3,成本最小,最优
2025,6,M001,电子元件A,760,800,210,250,92,100,8,成本最小,最优
2025,6,M002,电子元件B,500,500,250,250,82,100,5,成本最小,最优
2025,6,M003,电子组件C,320,400,150,230,85,100,4,成本最小,最优