物料编号,物料描述,供应商编号,供应商名称,单价,最小订购量,采购提前期,标准包装数量,币种
R001,电阻,SUP001,电子元件供应商A,0.05,1000,15,5000,CNY
C001,电容,SUP002,电子元件供应商B,0.10,500,20,2500,CNY
PCB001,电路板,SUP003,PCB制造商,5.00,100,30,100,CNY
R002,精密电阻,SUP001,电子元件供应商A,0.20,500,15,1000,CNY
C002,高容量电容,SUP002,电子元件供应商B,0.50,200,20,1000,CNY
IC001,集成电路,SUP004,半导体供应商,1.80,100,45,500,CNY
CAS001,外壳,SUP005,塑料制品厂,3.50,50,30,200,CNY
R001,电阻,SUP006,电子元件供应商C,0.06,800,12,4000,CNY
C001,电容,SUP007,电子元件供应商D,0.12,400,18,2000,CNY
PCB001,电路板,SUP008,PCB制造商B,5.50,80,25,100,CNY